year,month,Takedown Notices Processed,Takedowns
2015,1,21,23
2015,2,17,181
2015,3,43,366
2015,4,55,126
2015,5,25,49
2015,6,23,28
2015,7,94,602
2015,8,35,137
2015,9,65,5834
2015,10,40,630
2015,11,40,113
2015,12,47,241
2016,1,34,139
2016,2,80,254
2016,3,55,618
2016,4,55,454
2016,5,53,118
2016,6,56,927
2016,7,76,369
2016,8,63,953
2016,9,77,243
2016,10,73,264
2016,11,66,154
2016,12,69,420
2017,1,77,209
2017,2,101,1126
2017,3,78,412
2017,4,78,230
2017,5,113,361
2017,6,113,310
2017,7,126,247
2017,8,136,265
2017,9,152,416
2017,10,105,366
2017,11,175,1144
2017,12,126,555
2018,1,153,1449
2018,2,125,737
2018,3,161,857
2018,4,157,723
2018,5,167,914
2018,6,172,931
2018,7,147,967
2018,8,168,1354
2018,9,149,1720
2018,10,162,997
2018,11,134,936
2018,12,104,386
2019,1,185,1246
2019,2,120,1079
2019,3,154,1444
2019,4,127,956
2019,5,165,1062
2019,6,163,758
2019,7,157,627
2019,8,136,1502
2019,9,130,895
2019,10,187,2097
2019,11,134,1475
2019,12,104,1225
2020,1,142,3342
2020,2,125,1305
2020,3,134,1738
2020,4,178,2213
2020,5,168,2685
2020,6,217,2590
2020,7,232,2462
2020,8,172,1076
2020,9,206,1260
2020,10,154,13888
2020,11,156,2011
2020,12,213,2331
2021,1,119,1252
2021,2,156,1074
2021,3,218,2161
2021,4,198,1702
2021,5,148,717
2021,6,142,954
2021,7,133,958
2021,8,180,1348
2021,9,129,3188
2021,10,138,4163
2021,11,115,672
2021,12,149,1087
2022,1,165,3853
2022,2,137,1121
2022,3,267,1155
2022,4,208,3466
2022,5,206,4806
2022,6,217,1482
2022,7,203,1071
2022,8,198,2944
2022,9,220,1562
2022,10,180,1218
2022,11,186,1689
2022,12,134,1134
2023,1,167,1074
2023,2,203,1748
2023,3,138,5060
2023,4,169,2887
2023,5,186,1687
2023,6,223,1703
2023,7,199,1035
2023,8,256,1491
2023,9,147,7,1022
2023,10,129,1098
2023,11,113,722
2023,12,120,990
