year,month,Takedown Notices Processed,"Retractions, Reversals, and Counter Notices Processed",Takedowns,Projects Retracted,Projects Reversed,Projects Counter Noticed,Projects Counter Notice Retracted,"Projects Retracted, Reversed, or Counter Noticed",Projects Remaining Offline,Retracted Notices,Reversed Notices,Counter Notices,Counter Notices Retracted,Projects Counter Notice Reversed,Counter Notices Reversed
2021,1,119,4,1252,1,1,2,0,4,1248,1,1,2,0,0,0
2021,2,156,1,1074,0,0,0,0,-1,1075,0,0,0,0,1,1
2021,3,218,5,2161,3,0,2,0,5,2156,3,0,2,0,0,0
2021,4,198,8,1702,0,0,34,0,34,1668,0,0,8,0,0,0
2021,5,148,3,717,0,0,4,0,4,713,0,0,3,0,0,0
2021,6,142,5,954,0,0,8,0,8,946,0,0,5,0,0,0
2021,7,133,3,958,0,0,3,0,3,955,0,0,3,0,0,0
2021,8,180,4,1348,11,0,2,0,12,1336,1,0,2,0,1,1
2021,9,129,7,3188,2,0,6,0,8,3180,2,0,5,0,0,0
2021,10,138,2,4163,0,0,3,0,3,4160,0,0,2,0,0,0
2021,11,115,4,672,0,0,4,0,4,668,0,0,4,0,0,0
2021,12,149,3,1087,0,0,2,0,1,1086,0,0,2,0,1,1
2022,1,165,0,3853,0,0,0,0,0,3853,0,0,0,0,0,0
2022,2,137,2,1121,0,0,58,0,58,1063,0,0,2,0,0,0
2022,3,267,5,1155,1,0,6,0,7,1148,1,0,4,0,0,0
2022,4,208,8,3466,3,0,7,0,10,3456,2,0,6,0,0,0
2022,5,206,4,4806,0,0,6,0,6,4800,0,0,4,0,0,0
2022,6,217,1,1482,0,0,1,0,1,1481,0,0,1,0,0,0
2022,7,203,7,1071,0,0,7,0,7,1064,0,0,7,0,0,0
2022,8,198,2,2944,0,0,2,0,2,2942,0,0,2,0,0,0
2022,9,220,4,1562,0,0,6,0,6,1556,0,0,4,0,0,0
2022,10,180,1,1218,0,0,1,0,1,1217,0,0,1,0,0,0
2022,11,186,4,1689,7,0,1,0,8,1681,3,0,1,0,0,0
2022,12,134,6,1134,1,1,6,0,8,1126,1,1,4,0,0,0
2023,1,167,4,1074,1,0,3,0,4,1070,1,0,3,0,0,0
2023,2,203,1,1748,0,0,5,0,5,1743,0,0,1,0,0,0
2023,3,138,0,5060,0,0,0,0,0,5060,0,0,0,0,0,0
2023,4,169,2,2887,0,0,11,0,11,2876,0,0,2,0,0,0
2023,5,186,1,1687,0,0,1,0,1,1686,0,0,1,0,0,0
2023,6,223,3,1703,1,0,7,0,8,1695,1,0,2,0,0,0
2023,7,199,6,1035,1,0,11,0,12,1023,1,0,5,0,0,0
2023,8,256,10,1491,2,0,12,0,14,1477,2,0,8,0,0,0
2023,9,147,7,1022,4,0,6,0,9,1013,1,0,5,0,1,1
2023,10,129,1,1098,0,0,1,0,1,1097,0,0,1,0,0,0
2023,11,113,0,722,0,0,0,0,0,722,0,0,0,0,0,0
2023,12,120,0,990,0,0,0,0,0,990,0,0,0,0,0,0
