year,half,government,government_iso2_code,count
2024,1,Argentina,AR,1
2024,1,Brazil,BR,3
2024,1,Switzerland,CH,1
2024,1,Cyprus,CY,1
2024,1,Germany,DE,3
2024,1,France,FR,7
2024,1,India,IN,3
2024,1,Korea,KR,1
2024,1,Poland,PL,1
2024,1,Slovakia,SK,1
2023,2,Austria,AT,1
2023,2,Belgium,BE,1
2023,2,Brazil,BR,2
2023,2,Germany,DE,1
2023,2,Spain,ES,2
2023,2,France,FR,6
2023,2,India,IN,1
2023,2,Italy,IT,2
2023,2,Korea,KR,1
2023,1,Brazil,BR,2
2023,1,Canada,CA,1
2023,1,Germany,DE,2
2023,1,France,FR,2
2023,1,India,IN,4
2023,1,Poland,PL,2
